title,author,genre,shelf_status,spoiler_expiration_date,hint,partial_spoiler,full_spoiler,character_fates,ending_type,tags
Mimesis: The Representation of Reality in Western Literature,Erich Auerbach,literary criticism,read,,This is less a plot to spoil than an argument about how literature learns to represent reality.,"Auerbach moves across Western literature to show how style, history, class, and realism change across time.","The book argues that Western literature gradually expands what can count as serious representation, making ordinary life, mixed styles, and historical reality central to literary art.",No fictional character fate; the 'fate' here is realism becoming a historical method of seeing.,critical revelation,realism;representation;literary history;style;class
Recitatif,Toni Morrison,short story,read,,The story withholds the very information readers are trained to search for.,"Two women remember the same childhood institution and the same disabled woman differently, but race remains deliberately unstable.","The story never reveals which girl is Black and which is white, forcing the reader to confront how racial assumptions are produced by reading itself.","Twyla and Roberta survive into adulthood, but their shared memory of Maggie remains unresolved.",unresolved moral ambiguity,race;memory;ambiguity;childhood;misrecognition
Geography III,Elizabeth Bishop,poetry,read,,The poems turn measurement into uncertainty.,"Bishop uses maps, questions, and precise description to show how difficult it is to locate the self or the world securely.","The collection keeps staging geography as a failed promise of orientation: description does not master the world, but reveals its instability.","No character deaths; the speaker remains attentive, estranged, and unsettled.",lyric disorientation,poetry;geography;description;disorientation;precision
Little Women,Louisa May Alcott,classic,read,,The ending is domestic, but not simple.,"The sisters grow into separate lives, and one beloved sister does not survive.","Beth dies, Amy marries Laurie, Jo does not marry Laurie and instead marries Professor Bhaer, later building a school.",Beth dies; Jo marries Bhaer; Amy marries Laurie; Meg marries John Brooke.,bittersweet domestic,sisters;coming of age;ambition;domesticity;bittersweet
The Portrait of Dorian Gray,Oscar Wilde,gothic fiction,read,,The portrait keeps the truth the body refuses.,Dorian remains outwardly beautiful while the hidden portrait records his corruption.,"Dorian tries to destroy the portrait, but kills himself instead; his body becomes aged and ruined while the portrait returns to beauty.",Dorian dies; Basil is murdered by Dorian; Sibyl Vane dies by suicide.,moral reversal,vanity;beauty;corruption;gothic;portrait
The Bluest Eye,Toni Morrison,literary fiction,read,,The book asks what happens when beauty becomes a weapon.,"Pecola is destroyed by racism, sexual violence, and the community's failure to protect her.","Pecola is raped by her father, becomes pregnant, loses the baby, and retreats into delusion, believing she has blue eyes.",Pecola survives physically but is psychologically shattered; her baby dies; Cholly dies.,devastating social tragedy,race;beauty;girlhood;violence;trauma
Fun Home: A Family Tragicomic,Alison Bechdel,graphic memoir,read,,The family home is both museum and evidence.,"Bechdel connects her coming-out, her father's closeted sexuality, and his sudden death.","Bruce Bechdel dies after being hit by a truck, and the memoir leaves open whether his death was accidental or suicide.",Bruce Bechdel dies; Alison survives into authorship and interpretation.,ambiguous memoir reckoning,memoir;family;queerness;house;father
On Earth We're Briefly Gorgeous,Ocean Vuong,literary fiction,read,,The book is a letter that knows it may never be fully received.,"Little Dog writes to his mother about family history, violence, migration, language, and first love.","Trevor dies of an overdose, and the novel ends as a meditation on memory, survival, inheritance, and the limits of address.",Trevor dies; Little Dog survives through writing; Rose and Lan remain central presences in memory.,lyric grief,family;migration;language;queerness;grief
Play It As It Lays,Joan Didion,literary fiction,read,,The plot feels like a life stripped of explanation.,"Maria drifts through Hollywood, emotional numbness, abortion, failed relationships, and institutionalization.","Maria ends in a psychiatric facility, still refusing easy meaning, while BZ dies by suicide after asking her to stay with him.",BZ dies by suicide; Maria survives but remains emotionally detached and institutionalized.,existential collapse,Hollywood;alienation;passivity;fragmentation;despair
Wuthering Heights,Emily Brontë,gothic romance,read,,This is not love as cure, but love as haunting.,"Catherine dies, Heathcliff becomes consumed by revenge, and the next generation suffers from the first generation's violence.","Catherine dies after marrying Edgar; Heathcliff destroys several lives through revenge, then dies obsessed with Catherine's ghost. Cathy and Hareton finally suggest a gentler future.",Catherine dies; Heathcliff dies; Hindley dies; Linton dies; Cathy and Hareton survive together.,gothic haunting with renewal,obsession;revenge;ghosts;love;inheritance
Monolingualism of the Other,Jacques Derrida,theory,read,,The book begins from an impossible claim about language and belonging.,Derrida argues that the language one calls one's own is always inherited from elsewhere.,"The book unsettles the idea of native language by showing how language, identity, colonial history, and origin are never fully possessed.",No character fate; the stable subject of language is what gets undone.,philosophical destabilization,language;identity;colonialism;origin;theory
The Virgin Suicides,Jeffrey Eugenides,literary fiction,read,,The title tells you the ending, but not the meaning.,"All five Lisbon sisters die by suicide, while the neighborhood boys remain unable to understand them.","Cecilia dies first, and the remaining sisters later die in a coordinated sequence, leaving the male narrators with obsession rather than understanding.","Cecilia, Lux, Bonnie, Mary, and Therese Lisbon all die by suicide.",fatal retrospective mystery,girlhood;obsession;suburbia;suicide;memory
"Last Looks, Last Books",Helen Vendler,literary criticism,read,,The book studies how poets write when lateness becomes visible.,"Vendler reads late poetry by major poets as a record of endings, revisions, and final styles.","The central revelation is critical rather than narrative: late style becomes a way of confronting death, form, and the last possible gestures of art.",No fictional fate; the book is concerned with poetic mortality.,critical meditation on death,poetry;death;late style;criticism;Bishop
My Year of Rest and Relaxation,Ottessa Moshfegh,literary fiction,read,,Sleep becomes less escape than experiment.,"The narrator attempts to drug herself into a year of near-total sleep, while her friendship with Reva deteriorates.","After the narrator emerges from her hibernation, Reva dies in the September 11 attacks, and the narrator watches footage of a falling woman she imagines as Reva.",Reva dies in 9/11; the narrator survives changed but not cleanly redeemed.,historical shock,sleep;alienation;friendship;numbness;9/11
Amy Foster,Joseph Conrad,short story,read,,The tragedy begins with not being understood.,"Yanko survives a shipwreck and marries Amy, but remains isolated by language and xenophobia.","When Yanko becomes ill and speaks in his native language, Amy fears him and abandons him; he dies isolated.",Yanko dies; Amy survives but becomes part of the story's failure of sympathy.,isolation tragedy,language;exile;xenophobia;marriage;misunderstanding
Bunny,Mona Awad,dark academia,read,,The workshop is more dangerous than it looks.,"Samantha is drawn into a cultish writing group whose rituals blur art, violence, and fantasy.","The Bunnies conjure hybrid boys through ritual, and the novel leaves reality unstable as Samantha confronts Ava, creativity, loneliness, and monstrosity.",Ava's reality is uncertain; Samantha survives but remains inside ambiguity.,surreal ambiguity,dark academia;writing;cult;female friendship;surreal
Set My Heart on Fire,Izumi Suzuki,short stories,read,,Coolness keeps turning into danger.,"The stories often follow women navigating alienation, desire, passivity, and social worlds that punish detachment.","Rather than building to one plot ending, the collection repeatedly reveals how emotional distance can become its own trap.",Varies by story; the recurring fate is stylish disillusionment rather than rescue.,fragmented disillusionment,short stories;coolness;alienation;women;desire
Beloved,Toni Morrison,literary fiction,unspoiled,2026-08-01,The ghost is not only a ghost.,"Sethe's dead daughter returns in embodied form, forcing the household to confront the violence of slavery and memory.","Sethe killed her child rather than let her be returned to slavery; Beloved appears as that dead daughter, then vanishes after the women of the community intervene.",Beloved vanishes; Sethe survives; Denver steps into the world; Paul D returns.,haunting release,slavery;motherhood;ghost;memory;trauma
Jane Eyre,Charlotte Brontë,classic,unspoiled,2026-07-01,The romance has a locked room inside it.,"Rochester is already married to Bertha Mason, who is hidden in the attic.","Jane leaves after discovering Bertha, later returns after Thornfield burns, Bertha dies, and Rochester is injured. Jane marries him on more equal terms.",Bertha dies; Rochester is blinded and maimed; Jane survives and marries Rochester.,gothic marriage resolution,romance;gothic;independence;secret wife;morality
Rebecca,Daphne du Maurier,gothic suspense,unspoiled,2026-07-01,The dead wife controls the house more than the living one.,"Rebecca was not the perfect wife everyone imagines, and Maxim's grief is not what it seems.",Maxim killed Rebecca after she manipulated him into believing she was pregnant; Manderley is later burned by Mrs. Danvers.,Rebecca is already dead; Mrs. Danvers likely burns Manderley; Maxim and the narrator survive in exile.,gothic exposure,gothic;marriage;house;dead wife;identity
The Secret History,Donna Tartt,dark academia,unspoiled,2026-08-01,The murder is not the mystery; the aftermath is.,The group kills Bunny because he knows too much about an earlier death.,"The classics students accidentally kill a farmer during a bacchanal, then murder Bunny to hide it. Henry later dies by suicide.",Bunny is murdered; Henry dies by suicide; the others survive damaged and scattered.,elite moral rot,dark academia;murder;classics;friend group;guilt
Never Let Me Go,Kazuo Ishiguro,speculative fiction,unspoiled,2026-08-01,The school is preparing the students for a future already decided for them.,"Kathy, Ruth, and Tommy are clones raised to donate organs.","There is no deferral for love; Ruth and Tommy complete their donations and die, while Kathy awaits the same fate.",Ruth dies; Tommy dies; Kathy survives temporarily but is expected to donate.,quiet dystopian inevitability,clones;memory;love;school;inevitability
Giovanni's Room,James Baldwin,literary fiction,unspoiled,2026-07-01,The room becomes a place of desire and refusal.,David abandons Giovanni because he cannot face what their relationship means for his identity.,"Giovanni is executed for murder after David leaves him, and David ends alone, haunted by cowardice and desire.",Giovanni is executed; David survives in guilt; Hella leaves.,tragic self-betrayal,queerness;desire;shame;Paris;identity
The Great Gatsby,F. Scott Fitzgerald,classic,unspoiled,2026-07-01,The dream is built on a woman who cannot bear its weight.,"Daisy kills Myrtle while driving Gatsby's car, and Gatsby takes the blame.","George Wilson kills Gatsby, believing he caused Myrtle's death. Daisy and Tom leave, and almost no one attends Gatsby's funeral.",Gatsby dies; Myrtle dies; George dies; Daisy and Tom leave unharmed.,American disillusionment,wealth;dream;romance;class;death
Their Eyes Were Watching God,Zora Neale Hurston,classic,unspoiled,2026-07-01,Love arrives, but not without a storm.,"Janie finds love with Tea Cake, but the hurricane changes everything.","Tea Cake contracts rabies after saving Janie, becomes violent, and Janie kills him in self-defense. She returns home with her story.",Tea Cake dies; Janie survives and returns with self-knowledge.,self-possessed return,love;voice;hurricane;selfhood;Black womanhood
